exp260,74,0.0,0.9722222222222222,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,
exp261,72,0.014285714285714285,0.9857142857142858,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp262,70,0.014705882352941176,0.9852941176470589,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp265,71,0.014492753623188406,0.9420289855072463,0.043478260869565216,0.0,0.25,1.0,0.29411764705882354,0.4,0.625,
exp266,60,0.0,0.9827586206896551,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,
exp267,74,0.013888888888888888,0.9861111111111112,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp268,72,0.014285714285714285,0.9714285714285714,0.014285714285714285,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp269,75,0.0136986301369863,0.9726027397260274,0.0136986301369863,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp270,76,0.013513513513513514,0.9594594594594594,0.02702702702702703,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp272,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp273,69,0.014925373134328358,0.9701492537313433,0.014925373134328358,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp274,75,0.0,0.958904109589041,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,
exp275,68,0.015151515151515152,0.9696969696969697,0.015151515151515152,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp276,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp277,73,0.014084507042253521,0.9577464788732394,0.028169014084507043,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp279,68,0.0,0.9696969696969697,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,
exp260,74,0.0,0.9722222222222222,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,
exp261,72,0.014285714285714285,0.9857142857142858,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp262,70,0.014705882352941176,0.9852941176470589,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp265,71,0.014492753623188406,0.9420289855072463,0.043478260869565216,0.0,0.25,1.0,0.29411764705882354,0.4,0.625,
exp266,60,0.0,0.9827586206896551,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,
exp267,74,0.013888888888888888,0.9861111111111112,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp268,72,0.014285714285714285,0.9714285714285714,0.014285714285714285,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp269,75,0.0136986301369863,0.9726027397260274,0.0136986301369863,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp270,76,0.013513513513513514,0.9594594594594594,0.02702702702702703,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp272,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp273,69,0.014925373134328358,0.9701492537313433,0.014925373134328358,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp274,75,0.0,0.958904109589041,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,
exp275,68,0.015151515151515152,0.9696969696969697,0.015151515151515152,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp276,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp277,73,0.014084507042253521,0.9577464788732394,0.028169014084507043,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp279,68,0.0,0.9696969696969697,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,
exp260,74,0.0,0.9722222222222222,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,
exp261,72,0.014285714285714285,0.9857142857142858,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp262,70,0.014705882352941176,0.9852941176470589,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp265,71,0.014492753623188406,0.9420289855072463,0.043478260869565216,0.0,0.25,1.0,0.29411764705882354,0.4,0.625,
exp266,60,0.0,0.9827586206896551,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,
exp267,74,0.013888888888888888,0.9861111111111112,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp268,72,0.014285714285714285,0.9714285714285714,0.014285714285714285,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp269,75,0.0136986301369863,0.9726027397260274,0.0136986301369863,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp270,76,0.013513513513513514,0.9594594594594594,0.02702702702702703,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp272,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp273,69,0.014925373134328358,0.9701492537313433,0.014925373134328358,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp274,75,0.0,0.958904109589041,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,
exp275,68,0.015151515151515152,0.9696969696969697,0.015151515151515152,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp276,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp277,73,0.014084507042253521,0.9577464788732394,0.028169014084507043,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp279,68,0.0,0.9696969696969697,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,
exp260,74,0.0,0.9722222222222222,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,
exp261,72,0.014285714285714285,0.9857142857142858,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp262,70,0.014705882352941176,0.9852941176470589,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp265,71,0.014492753623188406,0.9420289855072463,0.043478260869565216,0.0,0.25,1.0,0.29411764705882354,0.4,0.625,
exp266,60,0.0,0.9827586206896551,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,
exp267,74,0.013888888888888888,0.9861111111111112,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp268,72,0.014285714285714285,0.9714285714285714,0.014285714285714285,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp269,75,0.0136986301369863,0.9726027397260274,0.0136986301369863,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp270,76,0.013513513513513514,0.9594594594594594,0.02702702702702703,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp272,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp273,69,0.014925373134328358,0.9701492537313433,0.014925373134328358,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp274,75,0.0,0.958904109589041,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,
exp275,68,0.015151515151515152,0.9696969696969697,0.015151515151515152,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp276,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp277,73,0.014084507042253521,0.9577464788732394,0.028169014084507043,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp279,68,0.0,0.9696969696969697,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,
exp260,74,0.0,0.9722222222222222,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,
exp261,72,0.014285714285714285,0.9857142857142858,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp262,70,0.014705882352941176,0.9852941176470589,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp265,71,0.014492753623188406,0.9420289855072463,0.043478260869565216,0.0,0.25,1.0,0.29411764705882354,0.4,0.625,
exp266,60,0.0,0.9827586206896551,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,
exp267,74,0.013888888888888888,0.9861111111111112,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp268,72,0.014285714285714285,0.9714285714285714,0.014285714285714285,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp269,75,0.0136986301369863,0.9726027397260274,0.0136986301369863,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp270,76,0.013513513513513514,0.9594594594594594,0.02702702702702703,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp272,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp273,69,0.014925373134328358,0.9701492537313433,0.014925373134328358,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp274,75,0.0,0.958904109589041,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,
exp275,68,0.015151515151515152,0.9696969696969697,0.015151515151515152,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp276,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp277,73,0.014084507042253521,0.9577464788732394,0.028169014084507043,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp279,68,0.0,0.9696969696969697,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,
exp260,74,0.0,0.9722222222222222,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,
exp261,72,0.014285714285714285,0.9857142857142858,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp262,70,0.014705882352941176,0.9852941176470589,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp265,71,0.014492753623188406,0.9420289855072463,0.043478260869565216,0.0,0.25,1.0,0.29411764705882354,0.4,0.625,
exp266,60,0.0,0.9827586206896551,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,
exp267,74,0.013888888888888888,0.9861111111111112,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp268,72,0.014285714285714285,0.9714285714285714,0.014285714285714285,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp269,75,0.0136986301369863,0.9726027397260274,0.0136986301369863,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp270,76,0.013513513513513514,0.9594594594594594,0.02702702702702703,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp272,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp273,69,0.014925373134328358,0.9701492537313433,0.014925373134328358,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp274,75,0.0,0.958904109589041,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,
exp275,68,0.015151515151515152,0.9696969696969697,0.015151515151515152,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp276,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp277,73,0.014084507042253521,0.9577464788732394,0.028169014084507043,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp279,68,0.0,0.9696969696969697,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,
exp260,74,0.0,0.9722222222222222,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,
exp261,72,0.014285714285714285,0.9857142857142858,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp262,70,0.014705882352941176,0.9852941176470589,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp265,71,0.014492753623188406,0.9420289855072463,0.043478260869565216,0.0,0.25,1.0,0.29411764705882354,0.4,0.625,
exp266,60,0.0,0.9827586206896551,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,
exp267,74,0.013888888888888888,0.9861111111111112,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp268,72,0.014285714285714285,0.9714285714285714,0.014285714285714285,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp269,75,0.0136986301369863,0.9726027397260274,0.0136986301369863,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp270,76,0.013513513513513514,0.9594594594594594,0.02702702702702703,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp272,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp273,69,0.014925373134328358,0.9701492537313433,0.014925373134328358,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp274,75,0.0,0.958904109589041,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,
exp275,68,0.015151515151515152,0.9696969696969697,0.015151515151515152,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp276,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp277,73,0.014084507042253521,0.9577464788732394,0.028169014084507043,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp279,68,0.0,0.9696969696969697,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,
exp260,74,0.0,0.9722222222222222,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,
exp261,72,0.014285714285714285,0.9857142857142858,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp262,70,0.014705882352941176,0.9852941176470589,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp265,71,0.014492753623188406,0.9420289855072463,0.043478260869565216,0.0,0.25,1.0,0.29411764705882354,0.4,0.625,
exp266,60,0.0,0.9827586206896551,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,
exp267,74,0.013888888888888888,0.9861111111111112,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
exp268,72,0.014285714285714285,0.9714285714285714,0.014285714285714285,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp269,75,0.0136986301369863,0.9726027397260274,0.0136986301369863,0.0,0.5,1.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,
exp270,76,0.013513513513513514,0.9594594594594594,0.02702702702702703,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
exp272,71,0.014492753623188406,0.9565217391304348,0.028985507246376812,0.0,0.3333333333333333,1.0,0.3846153846153846,0.5,0.7142857142857143,
